pole_id,lat,lon,feeder_id,dt_id,seq_on_line,parent_pole_id,pole_type,ward,pincode,device_id
P-000022,12.979567,77.602084,F-01-01,D-0001,22,P-000021,LT-8m-PCC,W-014,560034,KSPDB-SD01-D-0001-0022
P-000023,12.979617,77.602254,F-01-01,D-0001,23,P-000022,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0023
P-000024,12.979696,77.60241,F-01-01,D-0001,24,P-000023,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0024
P-000025,12.97983,77.60275,F-01-01,D-0001,25,P-000024,LT-8m-PCC,W-014,560034,KSPDB-SD01-D-0001-0025
P-000026,12.979953,77.602985,F-01-01,D-0001,26,P-000025,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0026
P-000027,12.980147,77.603251,F-01-01,D-0001,27,P-000026,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0027
P-000028,12.980288,77.603375,F-01-01,D-0001,28,P-000027,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0028
P-000029,12.980385,77.603562,F-01-01,D-0001,29,P-000028,LT-8m-PCC,W-014,560034,KSPDB-SD01-D-0001-0029
P-000030,12.980439,77.60374,F-01-01,D-0001,30,P-000029,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0030
P-000031,12.980642,77.60401,F-01-01,D-0001,31,P-000030,LT-8m-PCC,W-014,560034,KSPDB-SD01-D-0001-0031
P-000032,12.980779,77.604262,F-01-01,D-0001,32,P-000031,LT-8m-PCC,W-014,560034,KSPDB-SD01-D-0001-0032
P-000033,12.98092,77.60458,F-01-01,D-0001,33,P-000032,LT-9m-PCC,W-014,560034,
P-000034,12.980994,77.604764,F-01-01,D-0001,34,P-000033,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0034
P-000035,12.981043,77.605027,F-01-01,D-0001,35,P-000034,LT-8m-Steel,W-014,560034,
P-000036,12.981043,77.6053,F-01-01,D-0001,36,P-000035,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0036
P-000037,12.981113,77.605519,F-01-01,D-0001,37,P-000036,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0037
P-000038,12.981147,77.605885,F-01-01,D-0001,38,P-000037,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0038
P-000039,12.981163,77.606044,F-01-01,D-0001,39,P-000038,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0039
P-000040,12.981122,77.606202,F-01-01,D-0001,40,P-000039,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0040
P-000041,12.981072,77.606519,F-01-01,D-0001,41,P-000040,LT-9m-PCC,W-014,560034,
P-000042,12.981039,77.606668,F-01-01,D-0001,42,P-000041,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0042
P-000043,12.980928,77.607018,F-01-01,D-0001,43,P-000042,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0043
P-000044,12.980826,77.607364,F-01-01,D-0001,44,P-000043,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0044
P-000045,12.980826,77.607505,F-01-01,D-0001,45,P-000044,LT-9m-PCC,W-014,560034,
P-000046,12.980875,77.607796,F-01-01,D-0001,46,P-000045,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0046
P-000047,12.980914,77.607992,F-01-01,D-0001,47,P-000046,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0047
P-000048,12.980964,77.608148,F-01-01,D-0001,48,P-000047,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0048
P-000049,12.981025,77.608382,F-01-01,D-0001,49,P-000048,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0049
P-000050,12.981219,77.608658,F-01-01,D-0001,50,P-000049,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0050
P-000051,12.981324,77.608888,F-01-01,D-0001,51,P-000050,LT-8m-PCC,W-014,560034,KSPDB-SD01-D-0001-0051
P-000052,12.973822,77.593866,F-01-01,D-0002,1,,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0001
P-000053,12.973686,77.593808,F-01-01,D-0002,2,P-000052,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0002
P-000054,12.973417,77.59373,F-01-01,D-0002,3,P-000053,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0003
P-000055,12.973175,77.593551,F-01-01,D-0002,4,P-000054,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0004
P-000056,12.973028,77.593489,F-01-01,D-0002,5,P-000055,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0005
P-000057,12.972822,77.593334,F-01-01,D-0002,6,P-000056,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0006
P-000058,12.972715,77.593191,F-01-01,D-0002,7,P-000057,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0007
P-000059,12.972523,77.592914,F-01-01,D-0002,8,P-000058,LT-8m-PCC,W-073,,KSPDB-SD01-D-0002-0008
P-000060,12.972435,77.592603,F-01-01,D-0002,9,P-000059,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0009
P-000061,12.972351,77.592467,F-01-01,D-0002,10,P-000060,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0010
P-000062,12.972188,77.592264,F-01-01,D-0002,11,P-000061,LT-8m-PCC,W-073,560034,
P-000063,12.972142,77.592111,F-01-01,D-0002,12,P-000062,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0012
P-000064,12.972052,77.591942,F-01-01,D-0002,13,P-000063,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0013
P-000065,12.971951,77.591715,F-01-01,D-0002,14,P-000064,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0014
P-000066,12.971729,77.591455,F-01-01,D-0002,15,P-000065,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0015
P-000067,12.97167,77.59133,F-01-01,D-0002,16,P-000066,LT-8m-Steel,W-073,,KSPDB-SD01-D-0002-0016
P-000068,12.971549,77.591001,F-01-01,D-0002,17,P-000067,LT-9m-Steel,W-073,,KSPDB-SD01-D-0002-0017
P-000069,12.971438,77.590831,F-01-01,D-0002,18,P-000068,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0018
P-000070,12.971234,77.590607,F-01-01,D-0002,19,P-000069,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0019
P-000071,12.971,77.590444,F-01-01,D-0002,20,P-000070,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0020
P-000072,12.970854,77.59034,F-01-01,D-0002,21,P-000071,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0021
P-000073,12.970754,77.590228,F-01-01,D-0002,22,P-000072,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0022
P-000074,12.970636,77.590136,F-01-01,D-0002,23,P-000073,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0023
P-000075,12.970533,77.59003,F-01-01,D-0002,24,P-000074,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0024
P-000076,12.970298,77.589776,F-01-01,D-0002,25,P-000075,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0025
P-000077,12.970194,77.589668,F-01-01,D-0002,26,P-000076,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0026
P-000078,12.969962,77.589433,F-01-01,D-0002,27,P-000077,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0027
P-000079,12.969898,77.589294,F-01-01,D-0002,28,P-000078,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0028
P-000080,12.969747,77.589123,F-01-01,D-0002,29,P-000079,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0029
P-000081,12.969514,77.588998,F-01-01,D-0002,30,P-000080,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0030
P-000082,12.969383,77.588938,F-01-01,D-0002,31,P-000081,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0031
P-000083,12.969177,77.588739,F-01-01,D-0002,32,P-000082,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0032
P-000084,12.96902,77.588603,F-01-01,D-0002,33,P-000083,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0033
P-000085,12.968841,77.588375,F-01-01,D-0002,34,P-000084,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0034
P-000086,12.968743,77.588203,F-01-01,D-0002,35,P-000085,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0035
P-000087,12.968678,77.587924,F-01-01,D-0002,36,P-000086,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0036
P-000088,12.96861,77.587578,F-01-01,D-0002,37,P-000087,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0037
P-000089,12.968539,77.587458,F-01-01,D-0002,38,P-000088,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0038
P-000090,12.968382,77.587244,F-01-01,D-0002,39,P-000089,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0039
P-000091,12.9683,77.586996,F-01-01,D-0002,40,P-000090,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0040
P-000092,12.968247,77.586836,F-01-01,D-0002,41,P-000091,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0041
P-000093,12.968216,77.586685,F-01-01,D-0002,42,P-000092,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0042
P-000094,12.968215,77.586481,F-01-01,D-0002,43,P-000093,LT-8m-Steel,W-073,560034,
P-000095,12.968226,77.586218,F-01-01,D-0002,44,P-000094,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0044
P-000096,12.968298,77.585861,F-01-01,D-0002,45,P-000095,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0045
P-000097,12.968287,77.585601,F-01-01,D-0002,46,P-000096,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0046
P-000098,12.973841,77.593987,F-01-01,D-0002,1,,LT-8m-PCC,W-073,560034,
P-000099,12.973649,77.594013,F-01-01,D-0002,2,P-000098,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0048
P-000100,12.973377,77.594146,F-01-01,D-0002,3,P-000099,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0049
P-000101,12.973181,77.59418,F-01-01,D-0002,4,P-000100,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0050
P-000102,12.97297,77.594166,F-01-01,D-0002,5,P-000101,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0051
P-000103,12.972645,77.594195,F-01-01,D-0002,6,P-000102,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0052
P-000104,12.972455,77.594213,F-01-01,D-0002,7,P-000103,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0053
P-000105,12.972321,77.594273,F-01-01,D-0002,8,P-000104,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0054
P-000106,12.972043,77.594438,F-01-01,D-0002,9,P-000105,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0055
P-000107,12.971836,77.594473,F-01-01,D-0002,10,P-000106,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0056
P-000108,12.971485,77.594424,F-01-01,D-0002,11,P-000107,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0057
P-000109,12.97127,77.594329,F-01-01,D-0002,12,P-000108,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0058
P-000110,12.971017,77.594265,F-01-01,D-0002,13,P-000109,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0059
P-000111,12.970721,77.594078,F-01-01,D-0002,14,P-000110,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0060
P-000112,12.970566,77.594011,F-01-01,D-0002,15,P-000111,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0061
P-000113,12.97041,77.593855,F-01-01,D-0002,16,P-000112,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0062
P-000114,12.970237,77.593697,F-01-01,D-0002,17,P-000113,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0063
P-000115,12.970138,77.5935,F-01-01,D-0002,18,P-000114,LT-9m-Steel,W-073,560034,
P-000116,12.969879,77.593253,F-01-01,D-0002,19,P-000115,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0065
P-000117,12.969785,77.593055,F-01-01,D-0002,20,P-000116,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0066
P-000118,12.969624,77.592814,F-01-01,D-0002,21,P-000117,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0067
P-000119,12.969503,77.592577,F-01-01,D-0002,22,P-000118,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0068
P-000120,12.969254,77.59232,F-01-01,D-0002,23,P-000119,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0069
P-000121,12.968969,77.592125,F-01-01,D-0002,24,P-000120,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0070
P-000122,12.96885,77.591999,F-01-01,D-0002,25,P-000121,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0071
P-000123,12.968702,77.591904,F-01-01,D-0002,26,P-000122,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0072
P-000124,12.96856,77.591798,F-01-01,D-0002,27,P-000123,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0073
P-000125,12.968263,77.591707,F-01-01,D-0002,28,P-000124,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0074
P-000126,12.967996,77.591604,F-01-01,D-0002,29,P-000125,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0075
P-000127,12.967808,77.59157,F-01-01,D-0002,30,P-000126,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0076
P-000128,12.967545,77.591441,F-01-01,D-0002,31,P-000127,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0077
P-000129,12.967421,77.591366,F-01-01,D-0002,32,P-000128,LT-9m-Steel,W-073,560034,
P-000130,12.96727,77.591267,F-01-01,D-0002,33,P-000129,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0079
P-000131,12.967062,77.591218,F-01-01,D-0002,34,P-000130,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0080
P-000132,12.966732,77.591228,F-01-01,D-0002,35,P-000131,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0081
P-000133,12.966454,77.591172,F-01-01,D-0002,36,P-000132,LT-9m-Steel,W-073,560034,
P-000134,12.966264,77.591117,F-01-01,D-0002,37,P-000133,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0083
P-000135,12.966013,77.590934,F-01-01,D-0002,38,P-000134,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0084
P-000136,12.965828,77.590762,F-01-01,D-0002,39,P-000135,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0085
P-000137,12.96556,77.590575,F-01-01,D-0002,40,P-000136,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0086
P-000138,12.965454,77.590479,F-01-01,D-0002,41,P-000137,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0087
P-000139,12.965278,77.590397,F-01-01,D-0002,42,P-000138,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0088
P-000140,12.964946,77.590267,F-01-01,D-0002,43,P-000139,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0089
P-000141,12.964746,77.590083,F-01-01,D-0002,44,P-000140,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0090
P-000142,12.964542,77.589841,F-01-01,D-0002,45,P-000141,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0091
P-000143,12.964323,77.589554,F-01-01,D-0002,46,P-000142,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0092
P-000144,12.964205,77.58923,F-01-01,D-0002,47,P-000143,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0093
P-000145,12.96419,77.589082,F-01-01,D-0002,48,P-000144,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0094
P-000146,12.964175,77.588825,F-01-01,D-0002,49,P-000145,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0095
P-000147,12.964089,77.588542,F-01-01,D-0002,50,P-000146,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0096
P-000148,12.963906,77.588297,F-01-01,D-0002,51,P-000147,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0097
P-000149,12.965834,77.590574,F-01-01,D-0002,1,P-000137,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0098
P-000150,12.965996,77.590552,F-01-01,D-0002,2,P-000149,LT-8m-PCC,W-073,,KSPDB-SD01-D-0002-0099
P-000151,12.966219,77.59044,F-01-01,D-0002,3,P-000150,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0100
P-000152,12.966392,77.590321,F-01-01,D-0002,4,P-000151,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0101
P-000153,12.966582,77.590141,F-01-01,D-0002,5,P-000152,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0102
P-000154,12.966832,77.590001,F-01-01,D-0002,6,P-000153,LT-9m-PCC,W-073,560034,
P-000155,12.96711,77.58988,F-01-01,D-0002,7,P-000154,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0104
P-000156,12.96737,77.589841,F-01-01,D-0002,8,P-000155,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0105
P-000157,12.967692,77.589819,F-01-01,D-0002,9,P-000156,LT-9m-PCC,W-073,560034,
P-000158,12.967873,77.589836,F-01-01,D-0002,10,P-000157,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0107
P-000159,12.968141,77.589798,F-01-01,D-0002,11,P-000158,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0108
P-000160,12.968375,77.589799,F-01-01,D-0002,12,P-000159,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0109
P-000161,12.968622,77.589764,F-01-01,D-0002,13,P-000160,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0110
P-000162,12.968949,77.589633,F-01-01,D-0002,14,P-000161,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0111
P-000163,12.969188,77.589479,F-01-01,D-0002,15,P-000162,LT-8m-Steel,W-073,560034,
P-000164,12.969451,77.589369,F-01-01,D-0002,16,P-000163,LT-8m-Steel,W-073,560034,
P-000165,12.969589,77.589295,F-01-01,D-0002,17,P-000164,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0114
P-000166,12.969713,77.589151,F-01-01,D-0002,18,P-000165,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0115
P-000167,12.969956,77.588944,F-01-01,D-0002,19,P-000166,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0116
P-000168,12.970089,77.588884,F-01-01,D-0002,20,P-000167,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0117
P-000169,12.970279,77.588685,F-01-01,D-0002,21,P-000168,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0118
P-000170,12.970405,77.588478,F-01-01,D-0002,22,P-000169,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0119
P-000171,12.97047,77.588216,F-01-01,D-0002,23,P-000170,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0120
P-000172,12.970486,77.58799,F-01-01,D-0002,24,P-000171,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0121
P-000173,12.970512,77.587819,F-01-01,D-0002,25,P-000172,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0122
P-000174,12.970514,77.587475,F-01-01,D-0002,26,P-000173,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0123
P-000175,12.970421,77.587147,F-01-01,D-0002,27,P-000174,LT-8m-PCC,W-073,560034,
P-000176,12.970331,77.586982,F-01-01,D-0002,28,P-000175,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0125
P-000177,12.970133,77.586763,F-01-01,D-0002,29,P-000176,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0126
P-000178,12.969961,77.586563,F-01-01,D-0002,30,P-000177,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0127
P-000179,12.96982,77.586481,F-01-01,D-0002,31,P-000178,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0128
P-000180,12.969655,77.586303,F-01-01,D-0002,32,P-000179,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0129
P-000181,12.969471,77.586115,F-01-01,D-0002,33,P-000180,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0130
P-000182,12.969289,77.585864,F-01-01,D-0002,34,P-000181,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0131
P-000183,12.969111,77.585594,F-01-01,D-0002,35,P-000182,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0132
P-000184,12.968929,77.585449,F-01-01,D-0002,36,P-000183,LT-8m-Steel,W-073,560034,
P-000185,12.968708,77.585369,F-01-01,D-0002,37,P-000184,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0134
P-000186,12.968439,77.585176,F-01-01,D-0002,38,P-000185,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0135
P-000187,12.968197,77.584988,F-01-01,D-0002,39,P-000186,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0136
P-000188,12.968014,77.584913,F-01-01,D-0002,40,P-000187,LT-9m-PCC,W-073,560034,
P-000189,12.967773,77.584875,F-01-01,D-0002,41,P-000188,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0138
P-000190,12.967555,77.584789,F-01-01,D-0002,42,P-000189,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0139
P-000191,12.967371,77.584752,F-01-01,D-0002,43,P-000190,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0140
P-000192,12.967053,77.584643,F-01-01,D-0002,44,P-000191,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0141
P-000193,12.96692,77.584536,F-01-01,D-0002,45,P-000192,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0142
P-000194,12.966797,77.584418,F-01-01,D-0002,46,P-000193,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0143
P-000195,12.96667,77.584223,F-01-01,D-0002,47,P-000194,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0144
P-000196,12.966565,77.584002,F-01-01,D-0002,48,P-000195,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0145
P-000197,12.966532,77.583674,F-01-01,D-0002,49,P-000196,LT-8m-PCC,W-073,560034,
P-000198,12.966528,77.583358,F-01-01,D-0002,50,P-000197,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0147
P-000199,12.966477,77.583225,F-01-01,D-0002,51,P-000198,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0148
P-000200,12.973756,77.59427,F-01-01,D-0002,1,,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0149
P-000201,12.973578,77.594407,F-01-01,D-0002,2,P-000200,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0150
P-000202,12.973392,77.594677,F-01-01,D-0002,3,P-000201,LT-8m-PCC,W-073,560034,KSPDB-SD01-D-0002-0151
P-000203,12.973226,77.594933,F-01-01,D-0002,4,P-000202,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0152
P-000204,12.973112,77.595258,F-01-01,D-0002,5,P-000203,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0153
P-000205,12.973044,77.595446,F-01-01,D-0002,6,P-000204,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0154
P-000206,12.972965,77.595659,F-01-01,D-0002,7,P-000205,LT-9m-Steel,W-073,560034,KSPDB-SD01-D-0002-0155
P-000207,12.972893,77.595973,F-01-01,D-0002,8,P-000206,LT-8m-Steel,W-073,560034,KSPDB-SD01-D-0002-0156
P-000208,12.972876,77.596304,F-01-01,D-0002,9,P-000207,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0157
P-000209,12.972975,77.596654,F-01-01,D-0002,10,P-000208,LT-9m-PCC,W-073,560034,KSPDB-SD01-D-0002-0158
